trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-154.6302771909118,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-127.99972568738032,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-76.88156899319792,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-100.46183665391405,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-64.20452957445437,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-147.20470322427332,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-131.55388086377528,"{0: 8, 1: 8, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-104.50440021007101,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-68.63528984972439,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-96.79010744913279,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-96.37674634991752,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-134.59441407212165,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-90.07899311499921,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-105.36068149039149,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-74.02971443191133,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-123.59919663872968,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-210.86441305466636,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-103.66882997256113,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-97.97103624294257,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-133.2948656800622,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-91.54937306984552,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-130.81421302357035,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-89.28868727901973,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-113.44972436265618,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",35,0,-160.11295241407674,"{0: 22, 1: 4, 2: 6, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,7,-16.205226342826673,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-120.05934303926665,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-105.88849001948425,"{0: 11, 1: 3, 2: 11, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-44.494002798348326,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-95.6992885690322,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
