trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.11920292202211755, 'e': 1.0}",25,0,-137.13886720230215,"{0: 11, 1: 4, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.11928694248175568, 'e': 0.9998}",35,0,-123.89743155308345,"{0: 23, 1: 1, 2: 8, 3: 3, 4: 0}",0
3,False,"{'a': 0.11937099731783057, 'e': 0.99960004}",20,0,-90.88585227002923,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.11945508652285812, 'e': 0.9994001199920001}",20,0,-183.8031089039096,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
5,False,"{'a': 0.11953921008933553, 'e': 0.9992002399680017}",20,0,-129.65810893614014,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.11962336800974128, 'e': 0.9990003999200081}",20,0,-63.034419447807714,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.11970756027653505, 'e': 0.9988005998400241}",25,0,-100.92971505713975,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.11979178688215789, 'e': 0.9986008397200562}",20,0,-45.428539853558576,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.11987604781903213, 'e': 0.9984011195521122}",20,12,-1.5151044254224575,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.11996034307956133, 'e': 0.9982014393282017}",25,0,-87.7593813004957,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.12004467265613029, 'e': 0.9980017990403361}",20,0,-127.66430898119906,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.1201290365411052, 'e': 0.9978021986805281}",20,0,-129.71301261072705,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.12021343472683357, 'e': 0.997602638240792}",25,5,-46.999590082550085,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.1202978672056441, 'e': 0.9974031177131438}",30,0,-184.890838114696,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.12038233396984675, 'e': 0.9972036370896012}",25,10,-61.73887626865108,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.12046683501173297, 'e': 0.9970041963621834}",30,0,-127.01835069072337,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.12055137032357538, 'e': 0.9968047955229109}",25,0,-86.54343088859075,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
18,False,"{'a': 0.12063593989762789, 'e': 0.9966054345638063}",20,0,-116.29861083954405,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.12072054372612576, 'e': 0.9964061134768937}",25,0,-76.45527847315591,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.12080518180128565, 'e': 0.9962068322541983}",20,4,-102.23197292356168,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
21,False,"{'a': 0.12088985411530528, 'e': 0.9960075908877475}",25,0,-180.83331886384065,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
22,False,"{'a': 0.12097456066036399, 'e': 0.99580838936957}",20,0,-189.9058459827994,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 3}",0
23,False,"{'a': 0.12105930142862224, 'e': 0.995609227691696}",20,0,-88.1337740093474,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.12114407641222187, 'e': 0.9954101058461577}",20,0,-205.84358485246457,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
25,False,"{'a': 0.12122888560328607, 'e': 0.9952110238249885}",20,11,-30.26387546939063,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 0}",1
26,False,"{'a': 0.12131372899391935, 'e': 0.9950119816202235}",20,0,-90.4183888683137,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.12139860657620745, 'e': 0.9948129792238996}",20,0,-41.95711571071296,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.12148351834221767, 'e': 0.9946140166280548}",20,0,-114.7699820072183,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.12156846428399845, 'e': 0.9944150938247291}",25,0,-166.62899016274145,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
30,False,"{'a': 0.1216534443935796, 'e': 0.9942162108059642}",20,0,-140.60447663000497,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.12173845866297234, 'e': 0.9940173675638031}",20,0,-148.4044370097737,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
32,False,"{'a': 0.12182350708416924, 'e': 0.9938185640902903}",25,0,-88.06536962400095,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.12190858964914413, 'e': 0.9936198003774723}",30,0,-109.63058948570514,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.12199370634985228, 'e': 0.9934210764173969}",25,0,-170.29083849947378,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
35,False,"{'a': 0.12207885717823026, 'e': 0.9932223922021134}",25,0,-68.48140214772314,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.12216404212619611, 'e': 0.993023747723673}",20,0,-82.99999605065524,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.12224926118564905, 'e': 0.9928251429741283}",30,12,-62.12503724208473,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.12233451434846983, 'e': 0.9926265779455334}",30,0,-170.1373665842652,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
39,False,"{'a': 0.12241980160652045, 'e': 0.9924280526299444}",20,0,-96.29962307410558,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
40,False,"{'a': 0.12250512295164441, 'e': 0.9922295670194184}",25,0,-79.33042516599363,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
41,False,"{'a': 0.12259047837566651, 'e': 0.9920311211060145}",20,3,-91.34627776034067,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
42,False,"{'a': 0.12267586787039292, 'e': 0.9918327148817934}",30,0,-23.155087594998648,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.12276129142761118, 'e': 0.991634348338817}",25,0,-82.38915477644936,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.12284674903909029, 'e': 0.9914360214691493}",30,0,-107.08100281052799,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.12293224069658058, 'e': 0.9912377342648555}",25,0,-78.35519262980866,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.12301776639181383, 'e': 0.9910394867180026}",25,0,-247.66646562876727,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 5}",0
47,False,"{'a': 0.12310332611650315, 'e': 0.990841278820659}",25,0,-138.14973719247203,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
48,False,"{'a': 0.12318891986234308, 'e': 0.9906431105648948}",20,0,-31.804819801255253,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.12327454762100958, 'e': 0.9904449819427819}",25,0,-112.58111389734987,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.12336020938416001, 'e': 0.9902468929463933}",30,3,-144.1725348205939,"{0: 13, 1: 3, 2: 10, 3: 0, 4: 1}",1
51,False,"{'a': 0.12344590514343308, 'e': 0.9900488435678041}",25,0,-201.24844923350167,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
52,False,"{'a': 0.12353163489044902, 'e': 0.9898508337990906}",20,0,-58.261862187303116,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",1
53,False,"{'a': 0.12361739861680943, 'e': 0.9896528636323307}",25,5,-3.4493526639029484,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.12370319631409728, 'e': 0.9894549330596043}",20,0,-138.1405239751337,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
55,False,"{'a': 0.12378902797387706, 'e': 0.9892570420729925}",30,0,-281.18385745575864,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 5}",0
56,False,"{'a': 0.12387489358769468, 'e': 0.9890591906645778}",30,0,-138.3969838964044,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
57,False,"{'a': 0.12396079314707739, 'e': 0.988861378826445}",30,0,-109.0997276309271,"{0: 16, 1: 2, 2: 12, 3: 0, 4: 0}",0
58,False,"{'a': 0.124046726643534, 'e': 0.9886636065506796}",30,0,-98.06348376330521,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
59,False,"{'a': 0.12413269406855459, 'e': 0.9884658738293696}",25,0,-117.60074718208661,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
60,False,"{'a': 0.12421869541361089, 'e': 0.9882681806546038}",20,0,-79.7123489236065,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
61,False,"{'a': 0.12430473067015592, 'e': 0.9880705270184729}",20,0,-106.46218963446377,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.12439079982962432, 'e': 0.9878729129130691}",20,0,-51.10514539355297,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.12447690288343194, 'e': 0.9876753383304866}",25,0,-161.39666453352658,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
64,False,"{'a': 0.1245630398229763, 'e': 0.9874778032628205}",30,0,-144.92189007143537,"{0: 17, 1: 7, 2: 3, 3: 1, 4: 2}",0
65,False,"{'a': 0.12464921063963638, 'e': 0.9872803077021679}",25,8,-27.520613926279164,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
66,False,"{'a': 0.12473541532477242, 'e': 0.9870828516406275}",20,0,-154.3359032602252,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
67,False,"{'a': 0.12482165386972635, 'e': 0.9868854350702995}",20,0,-138.04256640060208,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
68,False,"{'a': 0.12490792626582149, 'e': 0.9866880579832854}",30,0,-32.31524014013786,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
69,False,"{'a': 0.12499423250436269, 'e': 0.9864907203716887}",20,0,-52.909836935176095,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.12508057257663618, 'e': 0.9862934222276144}",30,0,-119.52458082598577,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
