trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.71443513358097,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.61138305100849,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,4,-60.044875245440785,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.81274036210232,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.73188135302726,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-90.35521122547097,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.19638968108355,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.76151613802593,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-199.54719400662614,"{0: 20, 1: 4, 2: 8, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.10807366385194,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.9846983588073,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-179.963790562429,"{0: 16, 1: 5, 2: 12, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-210.9566486977187,"{0: 6, 1: 3, 2: 8, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.83516336738361,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.81544440631964,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.34312413125923,"{0: 19, 1: 7, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-41.228402964813895,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.38427950703192,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.88774457341518,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,9,-24.357306490621824,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.82401640136005,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-26.885031432233347,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.02660143594241,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.0628813336595,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-211.79850297660911,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.05965664089237,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.06033589181668,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.16958924806784,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.59113888451574,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.80658244717858,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
